*******Working on gbb20001000

 ====== Comparing SRGbbB :

 *** Cumulative comparison - DF:
                                              Selection :      CL    Paper    Error
             size(largejets) == 3 ? mjsum3 >= 300 : ALL :  0.72      1.17     -38.65
             size(largejets) == 2 ? mjsum2 >= 300 : ALL :  0.71      1.17     -39.17
             size(largejets) == 1 ? mjsum1 >= 300 : ALL :  0.71      1.17     -39.24

 *** Relative comparison:
(In the first line no comparison is done.)
                                              Selection :      CL     Paper     Error
                                                    all :  29252.00   29252.00  0.00
                                        Derivation Skim :  100.00     100.00    0.00
                                     Size(leptons) == 0 :  70.83      44.35     59.72
              size(jets) >= 4 ? dphi4jmin4 >= 0.4 : ALL :  76.70      78.29    -2.02
              size(jets) == 3 ? dphi4jmin3 >= 0.4 : ALL :  99.99      100.00   -0.01
              size(jets) == 2 ? dphi4jmin2 >= 0.4 : ALL :  100.00     100.00    0.00
              size(jets) == 1 ? dphi4jmin1 >= 0.4 : ALL :  100.00     100.00    0.00
                   Size(jets) >= 9 and size(bjets) >= 3 :  24.63      59.54    -58.64
                                             MET >= 600 :  57.32      65.38    -12.33
                                           meff >= 1700 :  99.64      100.00   -0.36
                                     mtminbjets3 >= 120 :  89.66      88.89     0.87
             size(largejets) >= 4 ? mjsum4 >= 300 : ALL :  95.31      86.03     10.79
             size(largejets) == 3 ? mjsum3 >= 300 : ALL :  97.12      100.00   -2.88
             size(largejets) == 2 ? mjsum2 >= 300 : ALL :  99.14      100.00   -0.86
             size(largejets) == 1 ? mjsum1 >= 300 : ALL :  99.89      100.00   -0.11

 ====== Comparing SRGtt0LM2 :

 *** Cumulative comparison - DF:
                                              Selection :      CL    Paper     Error
                                                    all :  29252.00  29252.00  0.00
                                        Derivation Skim :  11.32     11.32     0.00
                                     Size(leptons) == 0 :  8.02      5.02      59.72
              size(jets) >= 4 ? dphi4jmin4 >= 0.4 : ALL :  6.15      3.93      56.49
              size(jets) == 3 ? dphi4jmin3 >= 0.4 : ALL :  6.15      3.93      56.47
              size(jets) == 2 ? dphi4jmin2 >= 0.4 : ALL :  6.15      3.93      56.47
              size(jets) == 1 ? dphi4jmin1 >= 0.4 : ALL :  6.15      3.93      56.47
                  Size(jets) >= 10 and size(bjets) >= 3 :  1.00      1.49     -32.91
                                             MET >= 500 :  0.67      1.13     -40.65
                                           meff >= 1100 :  0.67      1.13     -40.65
                                     mtminbjets3 >= 120 :  0.60      0.99     -39.88
             size(largejets) >= 4 ? mjsum4 >= 200 : ALL :  0.59      0.97     -39.15
             size(largejets) == 3 ? mjsum3 >= 200 : ALL :  0.59      0.97     -39.35
             size(largejets) == 2 ? mjsum2 >= 200 : ALL :  0.59      0.97     -39.47
             size(largejets) == 1 ? mjsum1 >= 200 : ALL :  0.59      0.97     -39.51

 *** Relative comparison:
(In the first line no comparison is done.)
                                              Selection :      CL    Paper     Error
                                                    all :  29252.00  29252.00  0.00
                                        Derivation Skim :  100.00    100.00    0.00
                                     Size(leptons) == 0 :  70.83     44.35     59.72
              size(jets) >= 4 ? dphi4jmin4 >= 0.4 : ALL :  76.70     78.29    -2.02
              size(jets) == 3 ? dphi4jmin3 >= 0.4 : ALL :  99.99     100.00   -0.01
              size(jets) == 2 ? dphi4jmin2 >= 0.4 : ALL :  100.00    100.00    0.00
              size(jets) == 1 ? dphi4jmin1 >= 0.4 : ALL :  100.00    100.00    0.00
                  Size(jets) >= 10 and size(bjets) >= 3 :  16.26     37.91    -57.12
                                             MET >= 500 :  67.09     75.84    -11.53
                                           meff >= 1100 :  100.00    100.00    0.00
                                     mtminbjets3 >= 120 :  88.75     87.61     1.30
             size(largejets) >= 4 ? mjsum4 >= 200 : ALL :  99.48     98.28     1.22
             size(largejets) == 3 ? mjsum3 >= 200 : ALL :  99.67     100.00   -0.33
             size(largejets) == 2 ? mjsum2 >= 200 : ALL :  99.80     100.00   -0.20
             size(largejets) == 1 ? mjsum1 >= 200 : ALL :  99.93     100.00   -0.07

 ====== Comparing SRGtt0LC :

 *** Cumulative comparison - DF:
                                              Selection :      CL    Paper     Error
                                                    all :  29252.00  29252.00  0.00
                                        Derivation Skim :  11.32     11.32     0.00
                                     Size(leptons) == 0 :  8.02      5.02      59.72
              size(jets) >= 4 ? dphi4jmin4 >= 0.4 : ALL :  6.15      3.93      56.49
              size(jets) == 3 ? dphi4jmin3 >= 0.4 : ALL :  6.15      3.93      56.47
              size(jets) == 2 ? dphi4jmin2 >= 0.4 : ALL :  6.15      3.93      56.47
              size(jets) == 1 ? dphi4jmin1 >= 0.4 : ALL :  6.15      3.93      56.47
                                       Size(jets) >= 10 :  2.00      1.49      34.27
                                       Size(bjets) >= 4 :  0.47      0.72     -35.25
                                             MET >= 400 :  0.36      0.64     -43.53
                                            meff >= 800 :  0.36      0.64     -43.53
                                     mtminbjets3 >= 180 :  0.30      0.53     -42.10
             size(largejets) >= 4 ? mjsum4 >= 100 : ALL :  0.30      0.53     -42.10
             size(largejets) == 3 ? mjsum3 >= 100 : ALL :  0.30      0.53     -42.10
             size(largejets) == 2 ? mjsum2 >= 100 : ALL :  0.30      0.53     -42.10
             size(largejets) == 1 ? mjsum1 >= 100 : ALL :  0.30      0.53     -42.10

 *** Relative comparison:
(In the first line no comparison is done.)
                                              Selection :      CL    Paper     Error
                                                    all :  29252.00  29252.00  0.00
                                        Derivation Skim :  100.00    100.00    0.00
                                     Size(leptons) == 0 :  70.83     44.35     59.72
              size(jets) >= 4 ? dphi4jmin4 >= 0.4 : ALL :  76.70     78.29    -2.02
              size(jets) == 3 ? dphi4jmin3 >= 0.4 : ALL :  99.99     100.00   -0.01
              size(jets) == 2 ? dphi4jmin2 >= 0.4 : ALL :  100.00    100.00    0.00
              size(jets) == 1 ? dphi4jmin1 >= 0.4 : ALL :  100.00    100.00    0.00
                                       Size(jets) >= 10 :  32.54     37.91    -14.18
                                       Size(bjets) >= 4 :  23.37     48.46    -51.78
                                             MET >= 400 :  77.07     88.37    -12.78
                                            meff >= 800 :  100.00    100.00    0.00
                                     mtminbjets3 >= 180 :  84.53     82.45     2.53
             size(largejets) >= 4 ? mjsum4 >= 100 : ALL :  100.00    100.00    0.00
             size(largejets) == 3 ? mjsum3 >= 100 : ALL :  100.00    100.00    0.00
             size(largejets) == 2 ? mjsum2 >= 100 : ALL :  100.00    100.00    0.00
             size(largejets) == 1 ? mjsum1 >= 100 : ALL :  100.00    100.00    0.00


 ====== Comparing SRGtt1LB :

 *** Cumulative comparison - DF:
                                              Selection :      CL    Paper     Error
                                                    all :  29252.00  29252.00  0.00
                                        Derivation Skim :  11.32     11.32     0.00
                                     Size(leptons) >= 1 :  3.30      6.30     -47.59
                   Size(jets) >= 4 and size(bjets) >= 3 :  1.16      4.34     -73.29
                                             MET >= 600 :  0.57      2.55     -77.74
                                           meff >= 2300 :  0.40      1.98     -79.93
                                              mt >= 150 :  0.33      1.73     -80.92
                                     mtminbjets3 >= 120 :  0.29      1.47     -80.60
             size(largejets) >= 4 ? mjsum4 >= 200 : ALL :  0.28      1.36     -79.06
             size(largejets) == 3 ? mjsum3 >= 200 : ALL :  0.28      1.36     -79.06
             size(largejets) == 2 ? mjsum2 >= 200 : ALL :  0.28      1.36     -79.06
             size(largejets) == 1 ? mjsum1 >= 200 : ALL :  0.28      1.36     -79.06

 *** Relative comparison:
(In the first line no comparison is done.)
                                              Selection :      CL    Paper     Error
                                                    all :  29252.00  29252.00  0.00
                                        Derivation Skim :  100.00    100.00      0.00
                                     Size(leptons) >= 1 :  29.17     55.65    -47.59
                   Size(jets) >= 4 and size(bjets) >= 3 :  35.11     68.89    -49.03
                                             MET >= 600 :  48.97     58.76    -16.66
                                           meff >= 2300 :  70.01     77.65    -9.84
                                              mt >= 150 :  83.06     87.37    -4.94
